grid_id,poi_density,cluster
9,0.0,1
10,0.0,1
11,3.9029134919449735,0
12,7.8069852200632734,0
13,0.0,1
14,0.0,1
15,0.0,1
16,0.0,1
17,0.0,1
18,0.0,1
19,0.0,1
20,0.0,1
21,0.0,1
22,0.0,1
23,0.0,1
24,0.0,1
25,0.0,1
26,0.0,1
27,0.0,1
28,0.0,1
29,0.0,1
30,0.0,1
31,0.0,1
32,0.0,1
33,0.0,1
34,0.0,1
35,0.0,1
36,0.0,1
37,0.0,1
38,0.0,1
39,0.0,1
40,0.0,1
41,9.106798147871604,0
42,5.204656813375516,0
43,0.0,1
44,0.0,1
45,0.0,1
46,0.0,1
47,0.0,1
48,0.0,1
49,0.0,1
50,0.0,1
51,0.0,1
52,0.0,1
53,0.0,1
54,0.0,1
55,0.0,1
56,0.0,1
57,0.0,1
58,0.0,1
59,0.0,1
60,0.0,1
61,0.0,1
62,0.0,1
63,0.0,1
64,0.0,1
65,0.0,1
66,0.0,1
67,0.0,1
68,0.0,1
69,0.0,1
70,1.300778202392083,1
71,2.6019423279633154,1
72,0.0,1
73,2.6027146409771738,1
74,0.0,1
75,0.0,1
76,0.0,1
77,0.0,1
78,0.0,1
79,0.0,1
80,0.0,1
81,0.0,1
82,0.0,1
83,0.0,1
84,0.0,1
85,0.0,1
86,0.0,1
87,0.0,1
88,0.0,1
89,0.0,1
90,0.0,1
91,0.0,1
92,0.0,1
93,0.0,1
94,0.0,1
95,0.0,1
96,0.0,1
97,0.0,1
98,0.0,1
99,0.0,1
100,0.0,1
101,35.12622142750476,0
102,0.0,1
103,1.3013573204885869,1
104,0.0,1
105,0.0,1
106,0.0,1
107,0.0,1
108,0.0,1
109,0.0,1
110,0.0,1
111,0.0,1
112,0.0,1
113,0.0,1
114,0.0,1
115,0.0,1
116,0.0,1
117,0.0,1
118,0.0,1
119,0.0,1
120,0.0,1
121,0.0,1
122,0.0,1
123,0.0,1
124,0.0,1
125,0.0,1
126,0.0,1
127,0.0,1
128,2.6007850248571627,1
129,0.0,1
130,2.601556404787394,1
131,45.53399073938627,3
132,0.0,1
133,6.506786602455048,0
134,0.0,1
135,0.0,1
136,0.0,1
137,0.0,1
138,0.0,1
139,0.0,1
140,0.0,1
141,0.0,1
142,0.0,1
143,0.0,1
144,0.0,1
145,0.0,1
146,0.0,1
147,0.0,1
148,0.0,1
149,0.0,1
150,0.0,1
151,0.0,1
152,0.0,1
153,0.0,1
154,0.0,1
155,0.0,1
156,0.0,1
157,6.500998920074117,0
158,0.0,1
159,0.0,1
160,1.300778202392083,1
161,0.0,1
162,0.0,1
163,10.410858563908695,0
164,3.9046515463035036,0
165,0.0,1
166,0.0,1
167,0.0,1
168,0.0,1
169,0.0,1
170,0.0,1
171,0.0,1
172,0.0,1
173,0.0,1
174,0.0,1
175,0.0,1
176,0.0,1
177,0.0,1
178,0.0,1
179,0.0,1
180,0.0,1
181,0.0,1
182,0.0,1
183,0.0,1
184,0.0,1
185,27.296105765147153,0
186,62.40034239811375,3
187,0.0,1
188,3.9011775372736497,0
189,0.0,1
190,1.300778202392083,1
191,1.3009711639816577,1
192,0.0,1
193,1.3013573204885869,1
194,0.0,1
195,0.0,1
196,0.0,1
197,6.510652836446826,0
198,24.744157399165985,0
199,0.0,1
200,0.0,1
201,0.0,1
202,0.0,1
203,0.0,1
204,0.0,1
205,0.0,1
206,0.0,1
207,0.0,1
208,0.0,1
209,0.0,1
210,0.0,1
211,5.1961801775118195,0
212,9.094661148524152,0
213,1.2994296470815756,1
214,0.0,1
215,2.599629120490205,1
216,5.2000285331761456,0
217,0.0,1
218,1.30039251242455,1
219,9.104097229810353,0
220,0.0,1
221,0.0,1
222,3.9034926100316367,0
223,6.506786602442935,0
224,3.9046515463035036,0
225,22.1296443994608,0
226,5.207748555267869,0
227,0.0,1
228,1.302324073640315,1
229,1.3025176578934092,1
230,0.0,1
231,0.0,1
232,0.0,1
233,0.0,1
234,0.0,1
235,0.0,1
236,0.0,1
237,0.0,1
238,0.0,1
239,0.0,1
240,0.0,1
241,0.0,1
242,1.299237306930412,1
243,0.0,1
244,0.0,1
245,3.8994436807256405,0
246,0.0,1
247,0.0,1
248,0.0,1
249,27.312291689397185,0
250,67.64046652426246,3
251,1.3009711639792365,1
252,5.204656813369057,0
253,1.3013573204853568,1
254,1.3015505154328857,1
255,108.04473442076272,3
256,373.6559588400056,2
257,11.719175105582458,0
258,0.0,1
259,1.3025176578926003,1
260,7.816267920355818,0
261,1.302905060162406,1
262,0.0,1
263,0.0,1
264,0.0,1
265,0.0,1
266,0.0,1
267,0.0,1
268,0.0,1
269,0.0,1
270,0.0,1
271,0.0,1
272,0.0,1
273,0.0,1
274,0.0,1
275,0.0,1
276,1.3000071332940364,1
277,2.600399568029647,1
278,1.30039251242455,1
279,5.202341274177345,0
280,15.609338428704998,0
281,1.3009711639816577,1
282,1.301164203343879,1
283,2.6027146409771738,1
284,2.6031010308690026,1
285,0.0,1
286,145.81695954750032,3
287,11.719175105604288,0
